SpectraSuite Data File
++++++++++++++++++++++++++++++++++++
Date: Wed Oct 30 14:49:32 GMT 2013
User: WadeLab
Dark Spectrum Present: Yes
Reference Spectrum Present: No
Number of Sampled Component Spectra: 1
Spectrometers: USB2G15413
Integration Time (usec): 19000 (USB2G15413)
Spectra Averaged: 20 (USB2G15413)
Boxcar Smoothing: 0 (USB2G15413)
Correct for Electrical Dark: No (USB2G15413)
Strobe/Lamp Enabled: No (USB2G15413)
Correct for Detector Non-linearity: No (USB2G15413)
Correct for Stray Light: No (USB2G15413)
Number of Pixels in Processed Spectrum: 2048
>>>>>Begin Processed Spectral Data<<<<<
340.56	-0.0000E00
340.94	-0.0000E00
341.32	-0.0000E00
341.70	-0.0000E00
342.08	-0.0000E00
342.46	-0.0000E00
342.84	-0.0000E00
343.22	-0.0000E00
343.60	-0.0000E00
343.98	-0.0000E00
344.36	-0.0000E00
344.74	-0.0000E00
345.12	-0.0000E00
345.50	-0.0000E00
345.88	-0.0000E00
346.26	-0.0000E00
346.64	-0.0000E00
347.02	-0.0000E00
347.40	-0.0000E00
347.78	-0.0000E00
348.16	-0.0000E00
348.54	-0.0000E00
348.92	-0.0000E00
349.30	-0.0000E00
349.68	-4.9758E-01
350.06	-2.0758E-01
350.43	-1.7457E-01
350.81	-2.4394E-01
351.19	-1.5872E-01
351.57	-1.0646E-01
351.95	-1.5466E-01
352.33	-1.1753E-01
352.71	-8.9374E-02
353.09	-9.8681E-02
353.47	-9.5251E-02
353.84	-5.8588E-02
354.22	-8.4674E-02
354.60	-1.1518E-01
354.98	-1.3771E-01
355.36	-1.2893E-01
355.74	-1.0105E-01
356.12	-1.0322E-01
356.50	-1.1378E-01
356.87	-1.5320E-01
357.25	-1.1000E-01
357.63	-1.0035E-01
358.01	-8.7293E-02
358.39	-1.3960E-01
358.77	-9.9547E-02
359.14	-1.0720E-01
359.52	-1.4663E-01
359.90	-1.1228E-01
360.28	-9.2262E-02
360.66	-1.0465E-01
361.03	-1.1078E-01
361.41	-1.3176E-01
361.79	-1.2831E-01
362.17	-1.2347E-01
362.55	-1.2416E-01
362.92	-1.3560E-01
363.30	-1.3337E-01
363.68	-1.1262E-01
364.06	-9.1325E-02
364.44	-1.4022E-01
364.81	-9.1516E-02
365.19	-9.1663E-02
365.57	-6.7248E-02
365.95	-7.1474E-02
366.32	-7.0182E-02
366.70	-9.4637E-02
367.08	-1.0239E-01
367.46	-1.0074E-01
367.83	-1.1698E-01
368.21	-1.0910E-01
368.59	-5.9811E-02
368.96	-7.5821E-02
369.34	-1.2573E-01
369.72	-1.1735E-01
370.10	-1.2992E-01
370.47	-9.6461E-02
370.85	-8.7597E-02
371.23	-7.7944E-02
371.60	-6.8901E-02
371.98	-7.9293E-02
372.36	-5.6851E-02
372.73	-8.7334E-02
373.11	-8.4284E-02
373.49	-8.1050E-02
373.86	-9.4827E-02
374.24	-9.5421E-02
374.62	-6.1714E-02
374.99	-5.8021E-02
375.37	-5.5904E-02
375.75	-7.9410E-02
376.12	-8.1766E-02
376.50	-4.2226E-02
376.88	-6.8050E-02
377.25	-9.8402E-02
377.63	-1.0147E-01
378.01	-7.8193E-02
378.38	-8.8853E-02
378.76	-8.2443E-02
379.13	-9.3541E-02
379.51	-9.4853E-02
379.89	-8.0280E-02
380.26	-7.7890E-02
380.64	-6.3489E-02
381.01	-8.0302E-02
381.39	-9.4169E-02
381.77	-9.3313E-02
382.14	-8.5558E-02
382.52	-6.6920E-02
382.89	-6.8367E-02
383.27	-4.4309E-02
383.65	-3.1705E-02
384.02	-6.4694E-02
384.40	-6.1642E-02
384.77	-8.0236E-02
385.15	-8.3865E-02
385.52	-8.1949E-02
385.90	-6.0149E-02
386.27	-5.8061E-02
386.65	-3.6846E-02
387.02	-5.5569E-02
387.40	-4.9589E-02
387.78	-5.2479E-02
388.15	-3.8425E-02
388.53	-3.6353E-02
388.90	-6.0287E-02
389.28	-1.7397E-02
389.65	-1.5181E-02
390.03	-2.8676E-02
390.40	-2.3839E-02
390.78	-4.3799E-02
391.15	-4.5740E-02
391.53	-6.5583E-03
391.90	-5.0852E-03
392.28	7.1349E-03
392.65	1.7933E-02
393.02	2.7926E-02
393.40	1.4220E-02
393.77	1.6667E-02
394.15	2.9926E-02
394.52	5.3836E-02
394.90	7.1008E-02
395.27	9.3717E-02
395.65	1.0891E-01
396.02	1.1600E-01
396.39	1.3471E-01
396.77	1.3986E-01
397.14	1.8129E-01
397.52	2.0060E-01
397.89	2.1687E-01
398.27	2.6797E-01
398.64	2.9587E-01
399.01	2.9658E-01
399.39	3.3708E-01
399.76	3.7144E-01
400.14	4.2379E-01
400.51	4.8133E-01
400.88	4.8497E-01
401.26	5.5645E-01
401.63	6.1807E-01
402.00	6.5710E-01
402.38	7.3938E-01
402.75	7.7366E-01
403.13	8.2924E-01
403.50	9.2773E-01
403.87	1.0101E00
404.25	1.0339E00
404.62	1.1235E00
404.99	1.2279E00
405.37	1.2919E00
405.74	1.3834E00
406.11	1.4501E00
406.49	1.5514E00
406.86	1.6943E00
407.23	1.7711E00
407.61	1.8228E00
407.98	1.9509E00
408.35	2.0433E00
408.72	2.1361E00
409.10	2.2753E00
409.47	2.3964E00
409.84	2.4309E00
410.22	2.5650E00
410.59	2.6681E00
410.96	2.6977E00
411.33	2.7886E00
411.71	2.8537E00
412.08	2.8959E00
412.45	2.9452E00
412.83	2.9708E00
413.20	2.9874E00
413.57	3.0080E00
413.94	2.9705E00
414.32	2.9440E00
414.69	3.0472E00
415.06	2.9256E00
